Type,Runtime,Location,Date
Container,  0.008000,MA,2020-01-16
API,  0.136676,MA,2020-01-16
Container,  0.007117,MA,2020-01-16
API,  0.138749,MA,2020-01-16
Container,  0.011883,MA,2020-01-16
API,  0.144233,MA,2020-01-16
Container,  0.008000,MA,2020-01-16
API,  0.134941,MA,2020-01-16
Container,  0.006998,MA,2020-01-16
API,  0.140330,MA,2020-01-16
Container,  0.007000,MA,2020-01-16
API,  0.179034,MA,2020-01-16
Container,  0.008214,MA,2020-01-16
API,  0.185669,MA,2020-01-16
Container,  0.006787,MA,2020-01-16
API,  0.139226,MA,2020-01-16
Container,  0.007003,MA,2020-01-16
API,  0.138170,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.140022,MA,2020-01-16
Container,  0.007000,MA,2020-01-16
API,  0.137732,MA,2020-01-16
Container,  0.007999,MA,2020-01-16
API,  0.141176,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.139865,MA,2020-01-16
Container,  0.008000,MA,2020-01-16
API,  0.215784,MA,2020-01-16
Container,  0.007005,MA,2020-01-16
API,  0.175018,MA,2020-01-16
Container,  0.007994,MA,2020-01-16
API,  0.135944,MA,2020-01-16
Container,  0.007051,MA,2020-01-16
API,  0.134825,MA,2020-01-16
Container,  0.008949,MA,2020-01-16
API,  0.137509,MA,2020-01-16
Container,  0.007000,MA,2020-01-16
API,  0.171685,MA,2020-01-16
Container,  0.005998,MA,2020-01-16
API,  0.139286,MA,2020-01-16
Container,  0.007000,MA,2020-01-16
API,  0.137262,MA,2020-01-16
Container,  0.007108,MA,2020-01-16
API,  0.181563,MA,2020-01-16
Container,  0.006508,MA,2020-01-16
API,  0.135593,MA,2020-01-16
Container,  0.007000,MA,2020-01-16
API,  0.137090,MA,2020-01-16
Container,  0.006003,MA,2020-01-16
API,  0.240797,MA,2020-01-16
Container,  0.006998,MA,2020-01-16
API,  0.140125,MA,2020-01-16
Container,  0.006998,MA,2020-01-16
API,  0.138144,MA,2020-01-16
Container,  0.007003,MA,2020-01-16
API,  0.138301,MA,2020-01-16
Container,  0.006996,MA,2020-01-16
API,  0.139894,MA,2020-01-16
Container,  0.007001,MA,2020-01-16
API,  0.136306,MA,2020-01-16
Container,  0.007000,MA,2020-01-16
API,  0.144059,MA,2020-01-16
Container,  0.007002,MA,2020-01-16
API,  0.136586,MA,2020-01-16
Container,  0.007023,MA,2020-01-16
API,  0.151763,MA,2020-01-16
Container,  0.008060,MA,2020-01-16
API,  0.139444,MA,2020-01-16
Container,  0.007916,MA,2020-01-16
API,  0.142698,MA,2020-01-16
Container,  0.007997,MA,2020-01-16
API,  0.136797,MA,2020-01-16
Container,  0.007028,MA,2020-01-16
API,  0.247537,MA,2020-01-16
Container,  0.008004,MA,2020-01-16
API,  0.165983,MA,2020-01-16
Container,  0.006995,MA,2020-01-16
API,  0.144134,MA,2020-01-16
Container,  0.008997,MA,2020-01-16
API,  0.139546,MA,2020-01-16
Container,  0.008001,MA,2020-01-16
API,  0.139053,MA,2020-01-16
Container,  0.008098,MA,2020-01-16
API,  0.136415,MA,2020-01-16
Container,  0.007901,MA,2020-01-16
API,  0.139456,MA,2020-01-16
Container,  0.007001,MA,2020-01-16
API,  0.137236,MA,2020-01-16
Container,  0.007005,MA,2020-01-16
API,  0.237965,MA,2020-01-16
Container,  0.006997,MA,2020-01-16
API,  0.137422,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.137944,MA,2020-01-16
Container,  0.007998,MA,2020-01-16
API,  0.244478,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.289431,MA,2020-01-16
Container,  0.009018,MA,2020-01-16
API,  0.164520,MA,2020-01-16
Container,  0.006989,MA,2020-01-16
API,  0.229156,MA,2020-01-16
Container,  0.007992,MA,2020-01-16
API,  0.139885,MA,2020-01-16
Container,  0.007000,MA,2020-01-16
API,  0.138611,MA,2020-01-16
Container,  0.008004,MA,2020-01-16
API,  0.137281,MA,2020-01-16
Container,  0.006995,MA,2020-01-16
API,  0.237551,MA,2020-01-16
Container,  0.007042,MA,2020-01-16
API,  0.143184,MA,2020-01-16
Container,  0.006960,MA,2020-01-16
API,  0.140631,MA,2020-01-16
Container,  0.008996,MA,2020-01-16
API,  0.165355,MA,2020-01-16
Container,  0.009100,MA,2020-01-16
API,  0.137426,MA,2020-01-16
Container,  0.007899,MA,2020-01-16
API,  0.138476,MA,2020-01-16
Container,  0.009000,MA,2020-01-16
API,  0.280941,MA,2020-01-16
Container,  0.007001,MA,2020-01-16
API,  0.223478,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.137809,MA,2020-01-16
Container,  0.006001,MA,2020-01-16
API,  0.138000,MA,2020-01-16
Container,  0.005999,MA,2020-01-16
API,  0.138190,MA,2020-01-16
Container,  0.007028,MA,2020-01-16
API,  0.138325,MA,2020-01-16
Container,  0.005972,MA,2020-01-16
API,  0.138319,MA,2020-01-16
Container,  0.006004,MA,2020-01-16
API,  0.138904,MA,2020-01-16
Container,  0.006997,MA,2020-01-16
API,  0.138775,MA,2020-01-16
Container,  0.005998,MA,2020-01-16
API,  0.137801,MA,2020-01-16
Container,  0.006028,MA,2020-01-16
API,  0.143267,MA,2020-01-16
Container,  0.007005,MA,2020-01-16
API,  0.135799,MA,2020-01-16
Container,  0.005971,MA,2020-01-16
API,  0.137294,MA,2020-01-16
Container,  0.006023,MA,2020-01-16
API,  0.156129,MA,2020-01-16
Container,  0.006973,MA,2020-01-16
API,  0.136990,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.139196,MA,2020-01-16
Container,  0.005999,MA,2020-01-16
API,  0.166145,MA,2020-01-16
Container,  0.006003,MA,2020-01-16
API,  0.120363,MA,2020-01-16
Container,  0.006997,MA,2020-01-16
API,  0.121895,MA,2020-01-16
Container,  0.006035,MA,2020-01-16
API,  0.119589,MA,2020-01-16
Container,  0.007966,MA,2020-01-16
API,  0.127130,MA,2020-01-16
Container,  0.007004,MA,2020-01-16
API,  0.120643,MA,2020-01-16
Container,  0.005994,MA,2020-01-16
API,  0.271702,MA,2020-01-16
Container,  0.005999,MA,2020-01-16
API,  0.119049,MA,2020-01-16
Container,  0.006002,MA,2020-01-16
API,  0.120586,MA,2020-01-16
Container,  0.006997,MA,2020-01-16
API,  0.121274,MA,2020-01-16
Container,  0.006001,MA,2020-01-16
API,  0.232883,MA,2020-01-16
Container,  0.006998,MA,2020-01-16
API,  0.121996,MA,2020-01-16
Container,  0.006000,MA,2020-01-16
API,  0.120334,MA,2020-01-16
Container,  0.007001,MA,2020-01-16
API,  0.235592,MA,2020-01-16
Container,  0.005997,MA,2020-01-16
API,  0.120424,MA,2020-01-16
Container,  0.006029,MA,2020-01-16
API,  0.121880,MA,2020-01-16
Container,  0.007003,MA,2020-01-16
API,  0.119434,MA,2020-01-16
Container,  0.008006,MA,2020-01-16
API,  0.300442,MA,2020-01-16
Container,  0.006989,MA,2020-01-16
API,  0.122782,MA,2020-01-16
Container,  0.007987,MA,2020-01-16
API,  0.118990,MA,2020-01-16
Container,  0.005987,MA,2020-01-16
API,  0.250547,MA,2020-01-16
Container,  0.007998,MA,2020-01-16
API,  0.118443,MA,2020-01-16
Container,  0.007004,MA,2020-01-16
API,  0.119935,MA,2020-01-16
Container,  0.006994,MA,2020-01-16
API,  0.120994,MA,2020-01-16
Container,  0.007001,MA,2020-01-16
API,  0.127063,MA,2020-01-16
Container,  0.006004,MA,2020-01-16
API,  0.119164,MA,2020-01-16
Container,  0.008002,MA,2020-01-16
API,  0.120591,MA,2020-01-16
Container,  0.006993,MA,2020-01-16
API,  0.117092,MA,2020-01-16
Container,  0.006002,MA,2020-01-16
API,  0.120517,MA,2020-01-16
Container,  0.006998,MA,2020-01-16
API,  0.235804,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.119371,MA,2020-01-16
Container,  0.006003,MA,2020-01-16
API,  0.122311,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.243840,MA,2020-01-16
Container,  0.006001,MA,2020-01-16
API,  0.137337,MA,2020-01-16
Container,  0.006996,MA,2020-01-16
API,  0.137729,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.137687,MA,2020-01-16
Container,  0.006001,MA,2020-01-16
API,  0.138106,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.136981,MA,2020-01-16
Container,  0.006001,MA,2020-01-16
API,  0.163522,MA,2020-01-16
Container,  0.006998,MA,2020-01-16
API,  0.138937,MA,2020-01-16
Container,  0.006002,MA,2020-01-16
API,  0.136916,MA,2020-01-16
Container,  0.006997,MA,2020-01-16
API,  0.136900,MA,2020-01-16
Container,  0.006007,MA,2020-01-16
API,  0.138177,MA,2020-01-16
Container,  0.006994,MA,2020-01-16
API,  0.139222,MA,2020-01-16
Container,  0.007003,MA,2020-01-16
API,  0.138539,MA,2020-01-16
Container,  0.005996,MA,2020-01-16
API,  0.141917,MA,2020-01-16
Container,  0.006001,MA,2020-01-16
API,  0.138921,MA,2020-01-16
Container,  0.006515,MA,2020-01-16
API,  0.136274,MA,2020-01-16
Container,  0.007998,MA,2020-01-16
API,  0.120257,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.204744,MA,2020-01-16
Container,  0.007027,MA,2020-01-16
API,  0.140261,MA,2020-01-16
Container,  0.007973,MA,2020-01-16
